كَتَبَ, لکھنا, نوشتن, فعل
كِتَاب, کتاب, کتاب, اسم
عِلْم, علم, دانش, اسم
سَلَام, امن, صلح, اسم
مَدْرَسَة, مدرسہ, مدرسه, اسم
جَمِيل, خوبصورت, زیبا, صفت
صَبَرَ, صبر کرنا, صبر کردن, فعل
حُبّ, محبت, عشق, اسم
قَوِيّ, طاقتور, قوی, صفت
نَجَحَ, کامیاب ہونا, موفق شدن, فعل
السعادة, خوشی, شادی, اسم
في, میں, در, حرف جر
القناعة, اطمینان, قناعت, اسم
والصبر, صبر, شکیبایی, اسم
الحياة, زندگی, زندگی, اسم
الحب, محبت, عشق, اسم
التعليم, تعلیم, آموزش, اسم
السفر, سفر, سفر, فعل
الشجاعة, بہادری, شجاعت, اسم
الحكمة, حکمت, حکمت, اسم
المعرفة, معرفت, دانش, اسم
الفقر, غربت, فقر, اسم
الصداقة, دوستی, دوستی, اسم
الحرية, آزادی, آزادی, اسم
التقدم, ترقی, پیشرفت, فعل
الحماية, تحفظ, حفاظت, فعل
التضحية, قربانی, فداکاری, اسم
الاحترام, عزت, احترام, اسم
التعاون, تعاون, همکاری, فعل
التفكير, سوچ, فکر, فعل
الطبيعة, فطرت, طبیعت, اسم
العدالة, انصاف, عدالت, اسم
نور, روشنی, نور, اسم
تقدم, ترقی, پیشرفت, فعل
يأتي, آنا, آمدن, فعل
معلم, استاد, معلم, اسم
تعلم, سیکھنا, آموختن, فعل
السلام, سلامتی, صلح, اسم
الصدق, سچائی, راستی, اسم
القلب, دل, قلب, اسم
قوة, طاقت, قدرت, اسم
كتاب, کتاب, کتاب, اسم
مدرسي, تعلیمی, آموزشی, صفت
موجود, موجود, موجود, فعل
في, میں, در, حرف جر
مكتبة, کتاب خانہ, کتابخانه, اسم
